11683.2,12497.18,13.49,1,2019-12-09 6:00:09,1
11684.37,12497.72,13.5,1,2019-12-09 6:00:09,1
11685.51,12498.31,13.42,1,2019-12-09 6:00:09,1
11686.65,12498.92,13.54,1,2019-12-09 6:00:09,1
11687.79,12499.52,13.51,1,2019-12-09 6:00:09,1
11688.93,12500.12,13.53,1,2019-12-09 6:00:09,1
11690.07,12500.71,13.43,1,2019-12-09 6:00:09,1
11691.2,12501.31,13.46,1,2019-12-09 6:00:09,1
11692.34,12501.91,13.43,1,2019-12-09 6:00:09,1
11693.48,12502.51,13.48,1,2019-12-09 6:00:09,1
11694.61,12503.11,13.49,1,2019-12-09 6:00:10,1
11695.75,12503.71,13.45,1,2019-12-09 6:00:10,1
11696.88,12504.3,13.43,1,2019-12-09 6:00:10,1
11698.02,12504.9,13.42,1,2019-12-09 6:00:10,1
11699.16,12505.5,13.49,1,2019-12-09 6:00:10,1
11700.29,12506.1,13.46,1,2019-12-09 6:00:10,1
11701.43,12506.69,13.49,1,2019-12-09 6:00:10,1
11702.57,12507.29,13.44,1,2019-12-09 6:00:10,1
11703.7,12507.89,13.45,1,2019-12-09 6:00:10,1
11704.84,12508.49,13.45,1,2019-12-09 6:00:10,1
11705.97,12509.08,13.43,1,2019-12-09 6:00:11,1
11707.11,12509.68,13.48,1,2019-12-09 6:00:11,1
11708.25,12510.28,13.5,1,2019-12-09 6:00:11,1
11709.38,12510.88,13.42,1,2019-12-09 6:00:11,1
11710.53,12511.48,13.53,1,2019-12-09 6:00:11,1
11711.67,12512.08,13.5,1,2019-12-09 6:00:11,1
11712.81,12512.68,13.49,1,2019-12-09 6:00:11,1
11713.95,12513.28,13.51,1,2019-12-09 6:00:11,1
11715.08,12513.88,13.46,1,2019-12-09 6:00:11,1
11716.22,12514.47,13.47,1,2019-12-09 6:00:11,1
11717.35,12515.07,13.43,1,2019-12-09 6:00:12,1
11718.51,12515.63,13.44,1,2019-12-09 6:00:12,1
11719.67,12516.19,13.47,1,2019-12-09 6:00:12,1
11720.82,12516.74,13.42,1,2019-12-09 6:00:12,1
11721.98,12517.3,13.48,1,2019-12-09 6:00:12,1
11723.14,12517.86,13.52,1,2019-12-09 6:00:12,1
11724.3,12518.42,13.44,1,2019-12-09 6:00:12,1
11725.46,12518.98,13.5,1,2019-12-09 6:00:12,1
11726.61,12519.54,13.46,1,2019-12-09 6:00:12,1
11727.78,12520.1,13.54,1,2019-12-09 6:00:12,1
11728.93,12520.66,13.43,1,2019-12-09 6:00:13,1
11730.09,12521.22,13.53,1,2019-12-09 6:00:13,1
11731.25,12521.78,13.44,1,2019-12-09 6:00:13,1
11732.4,12522.33,13.42,1,2019-12-09 6:00:13,1
11733.55,12522.89,13.42,1,2019-12-09 6:00:13,1
11734.71,12523.45,13.49,1,2019-12-09 6:00:13,1
11735.87,12524.01,13.5,1,2019-12-09 6:00:13,1
11737.04,12524.57,13.53,1,2019-12-09 6:00:13,1
11738.2,12525.13,13.5,1,2019-12-09 6:00:13,1
11739.36,12525.69,13.49,1,2019-12-09 6:00:13,1
11740.51,12526.24,13.44,1,2019-12-09 6:00:14,1
11741.67,12526.8,13.47,1,2019-12-09 6:00:14,1
11742.82,12527.36,13.44,1,2019-12-09 6:00:14,1
11743.99,12527.92,13.53,1,2019-12-09 6:00:14,1
