5385.09,13790,6.28,22.608
5385.28,13790.59,6.5,23.4
5385.49,13791.2,6.7,24.12
5385.69,13791.83,6.86,24.696
5385.91,13792.47,7,25.2
5386.12,13793.13,7.2,25.92
5386.35,13793.81,7.45,26.82
5386.58,13794.51,7.6,27.36
5386.81,13795.22,7.74,27.864
5387.05,13795.95,7.98,28.728
5387.3,13796.69,8.19,29.484
5387.55,13797.46,8.4,30.24
5387.81,13798.25,8.59,30.924
5388.08,13799.05,8.76,31.536
5388.35,13799.87,8.96,32.256
5388.63,13800.71,9.17,33.012
5388.91,13801.56,9.31,33.516
5389.19,13802.43,9.5,34.2
5389.49,13803.31,9.66,34.776
5389.78,13804.21,9.81,35.316
5390.08,13805.12,9.94,35.784
5390.39,13806.05,10.18,36.648
5390.71,13807.01,10.44,37.584
5391.03,13807.98,10.7,38.52
5391.36,13808.99,10.94,39.384
5391.69,13810,11.08,39.888
5392.02,13811.03,11.25,40.5
5392.36,13812.09,11.5,41.4
5392.71,13813.16,11.72,42.192
5393.06,13814.25,11.87,42.732
5393.42,13815.36,12.11,43.596
5393.79,13816.49,12.31,44.316
5394.16,13817.63,12.45,44.82
5394.53,13818.78,12.6,45.36
5394.91,13819.95,12.78,46.008
5395.3,13821.15,13.03,46.908
5395.69,13822.36,13.19,47.484
5396.08,13823.58,13.33,47.988
5396.49,13824.82,13.55,48.78
5396.9,13826.08,13.75,49.5
5397.31,13827.36,13.94,50.184
5397.73,13828.65,14.1,50.76
5398.15,13829.96,14.27,51.372
5398.58,13831.28,14.42,51.912
5399.02,13832.62,14.67,52.812
5399.45,13833.97,14.71,52.956
5399.89,13835.32,14.65,52.74
5400.32,13836.66,14.69,52.884
5400.76,13838,14.6,52.56
5401.19,13839.34,14.6,52.56
5401.63,13840.68,14.65,52.74
5401.98,13842.05,14.7,52.92
5402.28,13843.43,14.68,52.848
5402.58,13844.82,14.71,52.956
5402.88,13846.19,14.61,52.596
5403.18,13847.58,14.72,52.992
5403.48,13848.96,14.71,52.956
5403.78,13850.35,14.7,52.92
5404.08,13851.73,14.69,52.884
5404.38,13853.11,14.65,52.74
5404.67,13854.49,14.61,52.596
5404.97,13855.87,14.7,52.92
5405.27,13857.25,14.63,52.668
5405.57,13858.62,14.61,52.596
5405.87,13860,14.62,52.632
5406.17,13861.38,14.68,52.848
5406.47,13862.76,14.61,52.596
5406.77,13864.14,14.72,52.992
5406.98,13865.53,14.6,52.56
5407.11,13866.94,14.67,52.812
5407.24,13868.35,14.72,52.992
5407.36,13869.75,14.61,52.596
5407.49,13871.16,14.66,52.776
5407.62,13872.56,14.65,52.74
5407.75,13873.97,14.62,52.632
5407.88,13875.37,14.63,52.668
5408.01,13876.77,14.6,52.56
5408.14,13878.17,14.62,52.632
5408.27,13879.58,14.64,52.704
5408.4,13880.98,14.66,52.776
5408.53,13882.39,14.69,52.884
5408.66,13883.8,14.7,52.92
5408.78,13885.21,14.67,52.812
5408.91,13886.62,14.67,52.812
5409.04,13888.03,14.66,52.776
5409.17,13889.44,14.69,52.884
5409.3,13890.84,14.64,52.704
5409.43,13892.25,14.7,52.92
5409.56,13893.66,14.65,52.74
5409.69,13895.06,14.68,52.848
5409.76,13896.47,14.61,52.596
5409.82,13897.88,14.64,52.704
5409.87,13899.29,14.64,52.704
5409.92,13900.7,14.71,52.956
5409.98,13902.12,14.68,52.848
5410.03,13903.53,14.69,52.884
5410.09,13904.95,14.68,52.848
5410.14,13906.36,14.7,52.92
5410.2,13907.77,14.64,52.704
5410.25,13909.19,14.7,52.92
5410.3,13910.59,14.6,52.56
5410.36,13912.01,14.7,52.92
5410.41,13913.41,14.6,52.56
5410.47,13914.83,14.71,52.956
5410.52,13916.24,14.7,52.92
5410.58,13917.65,14.62,52.632
5410.63,13919.07,14.72,52.992
5410.68,13920.48,14.66,52.776
5410.74,13921.89,14.65,52.74
5410.79,13923.3,14.69,52.884
5410.85,13924.71,14.65,52.74
5410.9,13926.12,14.61,52.596
5410.96,13927.53,14.67,52.812
5411.01,13928.95,14.7,52.92
5411.06,13930.35,14.61,52.596
5411.12,13931.76,14.62,52.632
5411.17,13933.17,14.67,52.812
5411.23,13934.58,14.63,52.668
5411.28,13935.99,14.6,52.56
5411.34,13937.41,14.7,52.92
5411.39,13938.82,14.67,52.812
5411.44,13940.23,14.62,52.632
5411.5,13941.64,14.71,52.956
5411.55,13943.05,14.66,52.776
5411.61,13944.46,14.6,52.56
5411.66,13945.86,14.61,52.596
5411.71,13947.27,14.61,52.596
5411.77,13948.69,14.71,52.956
5411.82,13950.1,14.64,52.704
5411.88,13951.52,14.72,52.992
5411.93,13952.92,14.62,52.632
5411.99,13954.34,14.69,52.884
5412.04,13955.75,14.64,52.704
5412.09,13957.16,14.67,52.812
5412.15,13958.57,14.66,52.776
5412.2,13959.98,14.6,52.56
5412.26,13961.39,14.67,52.812
5412.31,13962.8,14.66,52.776
5412.37,13964.21,14.68,52.848
5412.42,13965.63,14.7,52.92
5412.45,13967.04,14.67,52.812
5412.49,13968.45,14.6,52.56
5412.52,13969.86,14.66,52.776
5412.56,13971.27,14.7,52.92
5412.6,13972.68,14.6,52.56
5412.63,13974.09,14.68,52.848
5412.67,13975.51,14.67,52.812
5412.7,13976.92,14.64,52.704
5412.74,13978.33,14.7,52.92
5412.78,13979.75,14.72,52.992
5412.81,13981.16,14.63,52.668
5412.85,13982.57,14.7,52.92
5412.88,13983.99,14.69,52.884
5412.92,13985.4,14.64,52.704
5412.96,13986.81,14.68,52.848
5412.99,13988.22,14.63,52.668
5413.03,13989.64,14.69,52.884
5413.06,13991.05,14.68,52.848
5413.1,13992.46,14.69,52.884
5413.14,13993.88,14.7,52.92
5413.17,13995.29,14.63,52.668
5413.21,13996.7,14.69,52.884
5413.24,13998.12,14.68,52.848
5413.28,13999.53,14.72,52.992
5413.32,14000.95,14.7,52.92
5413.35,14002.37,14.7,52.92
5413.39,14003.75,14.4,51.84
5413.42,14005.1,13.95,50.22
5413.46,14006.42,13.7,49.32
5413.49,14007.7,13.37,48.132
5413.52,14008.95,12.98,46.728
5413.55,14010.17,12.66,45.576
