my time, msgCnt, SecMark, Lat, Lon
1575640605,200,48135,-334563296.000000,-706598144.000000
1575640606,203,48136,-334563776.000000,-706598208.000000
1575640606,205,48136,-334564096.000000,-706598336.000000
1575640607,206,48137,-334564160.000000,-706598400.000000
1575640607,207,48137,-334564256.000000,-706598528.000000
1575640607,208,48137,-334564352.000000,-706598592.000000
1575640607,209,48137,-334564416.000000,-706598720.000000
1575640607,210,48137,-334564416.000000,-706598720.000000
1575640608,211,48138,-334564608.000000,-706598976.000000
1575640608,212,48138,-334564672.000000,-706599040.000000
1575640608,213,48138,-334564736.000000,-706599168.000000
1575640608,214,48138,-334564832.000000,-706599296.000000
1575640608,215,48138,-334564864.000000,-706599424.000000
1575640609,216,48139,-334564896.000000,-706599488.000000
1575640609,218,48139,-334565024.000000,-706599808.000000
1575640609,219,48139,-334565088.000000,-706600000.000000
1575640609,220,48139,-334565088.000000,-706600064.000000
1575640610,222,48140,-334565184.000000,-706600384.000000
1575640610,223,48140,-334565216.000000,-706600576.000000
1575640610,224,48140,-334565280.000000,-706600832.000000
1575640610,225,48140,-334565312.000000,-706601024.000000
1575640611,226,48141,-334565344.000000,-706601216.000000
1575640611,227,48141,-334565376.000000,-706601408.000000
1575640611,228,48141,-334565408.000000,-706601472.000000
1575640611,229,48141,-334565440.000000,-706601792.000000
1575640611,230,48141,-334565472.000000,-706601984.000000
1575640612,231,48142,-334565440.000000,-706602176.000000
1575640612,232,48142,-334565472.000000,-706602368.000000
1575640612,234,48142,-334565504.000000,-706602752.000000
1575640612,235,48142,-334565504.000000,-706602752.000000
1575640613,236,48143,-334565536.000000,-706603072.000000
1575640613,237,48143,-334565536.000000,-706603264.000000
1575640613,238,48143,-334565568.000000,-706603392.000000
1575640613,239,48143,-334565568.000000,-706603520.000000
1575640613,240,48143,-334565600.000000,-706603648.000000
1575640614,241,48144,-334565632.000000,-706603840.000000
1575640614,242,48144,-334565664.000000,-706604032.000000
1575640614,243,48144,-334565664.000000,-706604224.000000
1575640614,244,48144,-334565664.000000,-706604352.000000
1575640614,245,48144,-334565696.000000,-706604480.000000
1575640615,246,48145,-334565696.000000,-706604608.000000
1575640615,247,48145,-334565696.000000,-706604736.000000
1575640615,248,48145,-334565696.000000,-706604736.000000
1575640615,249,48145,-334565696.000000,-706604928.000000
1575640615,250,48145,-334565696.000000,-706605056.000000
1575640616,251,48146,-334565696.000000,-706605184.000000
1575640616,252,48146,-334565696.000000,-706605248.000000
1575640616,253,48146,-334565696.000000,-706605376.000000
1575640616,254,48146,-334565728.000000,-706605440.000000
1575640616,255,48147,-334565728.000000,-706605504.000000
1575640617,0,48147,-334565728.000000,-706605568.000000
1575640617,1,48147,-334565760.000000,-706605632.000000
1575640617,2,48147,-334565760.000000,-706605696.000000
1575640617,3,48147,-334565760.000000,-706605696.000000
1575640617,4,48148,-334565760.000000,-706605760.000000
1575640618,5,48148,-334565760.000000,-706605760.000000
1575640618,6,48148,-334565760.000000,-706605824.000000
1575640618,7,48148,-334565792.000000,-706605824.000000
1575640618,8,48148,-334565792.000000,-706605824.000000
1575640619,9,48148,-334565792.000000,-706605824.000000
1575640619,10,48149,-334565760.000000,-706605824.000000
1575640619,11,48149,-334565760.000000,-706605888.000000
1575640619,12,48149,-334565760.000000,-706605888.000000
1575640619,13,48149,-334565760.000000,-706605888.000000
1575640620,14,48150,-334565760.000000,-706605888.000000
1575640620,15,48150,-334565728.000000,-706605888.000000
1575640620,16,48150,-334565728.000000,-706605888.000000
1575640620,17,48150,-334565728.000000,-706605952.000000
1575640620,18,48150,-334565728.000000,-706605952.000000
1575640621,19,48151,-334565728.000000,-706605952.000000
1575640621,20,48151,-334565728.000000,-706605952.000000
1575640621,21,48151,-334565728.000000,-706605952.000000
1575640621,22,48151,-334565728.000000,-706605952.000000
1575640621,23,48151,-334565728.000000,-706605952.000000
1575640622,24,48151,-334565728.000000,-706605952.000000
1575640622,25,48152,-334565728.000000,-706605952.000000
1575640622,26,48152,-334565696.000000,-706605952.000000
1575640622,27,48152,-334565696.000000,-706606016.000000
1575640622,28,48152,-334565696.000000,-706606016.000000
1575640623,29,48153,-334565696.000000,-706606016.000000
1575640623,30,48153,-334565696.000000,-706606016.000000
1575640623,31,48153,-334565696.000000,-706606080.000000
1575640623,32,48153,-334565696.000000,-706606080.000000
1575640623,33,48153,-334565696.000000,-706606080.000000
1575640624,34,48153,-334565696.000000,-706606080.000000
1575640624,35,48154,-334565696.000000,-706606080.000000
1575640624,36,48154,-334565696.000000,-706606080.000000
1575640624,37,48154,-334565696.000000,-706606080.000000
1575640624,38,48154,-334565696.000000,-706606080.000000
1575640625,39,48155,-334565696.000000,-706606080.000000
1575640625,40,48155,-334565696.000000,-706606080.000000
1575640625,41,48155,-334565696.000000,-706606080.000000
1575640625,42,48155,-334565664.000000,-706606080.000000
1575640625,43,48155,-334565664.000000,-706606144.000000
1575640626,44,48155,-334565664.000000,-706606144.000000
1575640626,45,48156,-334565664.000000,-706606144.000000
1575640626,46,48156,-334565664.000000,-706606144.000000
1575640626,47,48156,-334565664.000000,-706606144.000000
1575640626,48,48156,-334565664.000000,-706606144.000000
1575640627,49,48157,-334565664.000000,-706606144.000000
1575640627,50,48157,-334565664.000000,-706606144.000000
1575640627,51,48157,-334565664.000000,-706606208.000000
1575640627,52,48157,-334565664.000000,-706606208.000000
1575640627,53,48157,-334565664.000000,-706606208.000000
1575640628,54,48158,-334565664.000000,-706606208.000000
1575640628,55,48158,-334565664.000000,-706606272.000000
1575640628,56,48158,-334565664.000000,-706606272.000000
1575640628,57,48158,-334565632.000000,-706606272.000000
1575640628,58,48158,-334565632.000000,-706606272.000000
1575640629,59,48159,-334565632.000000,-706606336.000000
1575640629,61,48159,-334565632.000000,-706606336.000000
1575640630,65,48160,-334565664.000000,-706606336.000000
1575640630,66,48160,-334565664.000000,-706606336.000000
1575640630,68,48160,-334565664.000000,-706606336.000000
1575640631,69,48160,-334565664.000000,-706606336.000000
1575640631,70,48161,-334565664.000000,-706606336.000000
1575640631,71,48161,-334565664.000000,-706606336.000000
1575640631,72,48161,-334565664.000000,-706606336.000000
1575640631,73,48161,-334565664.000000,-706606336.000000
1575640632,75,48162,-334565632.000000,-706606336.000000
1575640632,76,48162,-334565632.000000,-706606336.000000
1575640632,77,48162,-334565632.000000,-706606336.000000
1575640632,78,48162,-334565632.000000,-706606400.000000
1575640633,79,48163,-334565632.000000,-706606400.000000
1575640633,80,48163,-334565632.000000,-706606400.000000
1575640633,81,48163,-334565632.000000,-706606400.000000
1575640633,82,48163,-334565664.000000,-706606400.000000
1575640633,83,48163,-334565664.000000,-706606400.000000
1575640634,84,48164,-334565664.000000,-706606400.000000
1575640634,85,48164,-334565664.000000,-706606400.000000
1575640634,86,48164,-334565664.000000,-706606400.000000
1575640634,87,48164,-334565664.000000,-706606400.000000
1575640635,89,48165,-334565664.000000,-706606400.000000
1575640635,90,48165,-334565664.000000,-706606400.000000
1575640635,91,48165,-334565664.000000,-706606400.000000
1575640635,92,48165,-334565664.000000,-706606400.000000
1575640635,93,48165,-334565664.000000,-706606400.000000
1575640636,94,48166,-334565664.000000,-706606400.000000
1575640636,95,48166,-334565664.000000,-706606400.000000
1575640636,96,48166,-334565664.000000,-706606464.000000
1575640636,97,48166,-334565664.000000,-706606464.000000
1575640636,98,48166,-334565664.000000,-706606464.000000
1575640637,99,48166,-334565664.000000,-706606464.000000
1575640637,101,48167,-334565664.000000,-706606464.000000
1575640637,102,48167,-334565664.000000,-706606464.000000
1575640639,109,48168,-334565664.000000,-706606528.000000
1575640639,110,48169,-334565664.000000,-706606528.000000
1575640640,116,48170,-334565664.000000,-706606592.000000
1575640640,117,48170,-334565664.000000,-706606592.000000
1575640640,118,48170,-334565664.000000,-706606592.000000
1575640641,119,48171,-334565664.000000,-706606592.000000
1575640641,120,48171,-334565664.000000,-706606592.000000
1575640641,121,48171,-334565664.000000,-706606592.000000
1575640641,122,48171,-334565664.000000,-706606592.000000
1575640641,123,48171,-334565664.000000,-706606656.000000
1575640642,124,48172,-334565664.000000,-706606656.000000
1575640642,125,48172,-334565664.000000,-706606656.000000
1575640642,126,48172,-334565664.000000,-706606656.000000
1575640642,127,48172,-334565664.000000,-706606656.000000
1575640642,128,48172,-334565664.000000,-706606656.000000
1575640643,129,48173,-334565664.000000,-706606656.000000
1575640643,130,48173,-334565664.000000,-706606720.000000
1575640643,131,48173,-334565664.000000,-706606720.000000
1575640643,132,48173,-334565664.000000,-706606720.000000
1575640643,133,48173,-334565664.000000,-706606720.000000
1575640644,134,48174,-334565664.000000,-706606720.000000
1575640644,136,48174,-334565664.000000,-706606720.000000
1575640644,137,48174,-334565664.000000,-706606784.000000
1575640644,138,48174,-334565664.000000,-706606784.000000
1575640645,139,48175,-334565664.000000,-706606784.000000
1575640645,140,48175,-334565664.000000,-706606784.000000
1575640645,141,48175,-334565664.000000,-706606784.000000
1575640645,142,48175,-334565664.000000,-706606784.000000
1575640646,144,48176,-334565664.000000,-706606848.000000
1575640646,145,48176,-334565664.000000,-706606848.000000
1575640646,146,48176,-334565664.000000,-706606848.000000
1575640646,147,48176,-334565664.000000,-706606848.000000
1575640646,148,48176,-334565664.000000,-706606848.000000
1575640647,149,48177,-334565664.000000,-706606848.000000
1575640647,150,48177,-334565664.000000,-706606848.000000
1575640647,151,48177,-334565664.000000,-706606848.000000
1575640647,152,48177,-334565696.000000,-706606912.000000
1575640647,153,48177,-334565696.000000,-706606912.000000
1575640648,154,48178,-334565696.000000,-706606976.000000
1575640648,155,48178,-334565696.000000,-706607040.000000
1575640648,156,48178,-334565696.000000,-706607104.000000
1575640648,157,48178,-334565728.000000,-706607168.000000
1575640649,159,48179,-334565728.000000,-706607296.000000
1575640649,160,48179,-334565760.000000,-706607424.000000
1575640649,162,48179,-334565760.000000,-706607552.000000
1575640650,164,48180,-334565792.000000,-706607744.000000
1575640650,165,48180,-334565792.000000,-706607872.000000
1575640650,166,48180,-334565792.000000,-706607936.000000
1575640650,167,48180,-334565824.000000,-706608000.000000
1575640650,168,48181,-334565824.000000,-706608064.000000
1575640651,169,48181,-334565824.000000,-706608128.000000
1575640651,170,48181,-334565824.000000,-706608192.000000
1575640651,171,48181,-334565824.000000,-706608192.000000
1575640651,172,48181,-334565824.000000,-706608256.000000
1575640651,173,48182,-334565824.000000,-706608320.000000
1575640652,174,48182,-334565824.000000,-706608320.000000
1575640652,175,48182,-334565824.000000,-706608384.000000
1575640652,176,48182,-334565856.000000,-706608384.000000
1575640652,177,48182,-334565856.000000,-706608448.000000
1575640653,178,48183,-334565856.000000,-706608448.000000
1575640653,179,48183,-334565856.000000,-706608512.000000
1575640653,180,48183,-334565856.000000,-706608512.000000
1575640653,181,48183,-334565856.000000,-706608576.000000
1575640653,182,48183,-334565856.000000,-706608576.000000
1575640654,183,48184,-334565856.000000,-706608640.000000
1575640654,184,48184,-334565888.000000,-706608704.000000
1575640654,185,48184,-334565888.000000,-706608704.000000
1575640654,186,48184,-334565888.000000,-706608768.000000
1575640654,187,48184,-334565888.000000,-706608832.000000
1575640655,188,48185,-334565888.000000,-706608896.000000
1575640655,189,48185,-334565888.000000,-706608896.000000
1575640655,190,48185,-334565920.000000,-706609024.000000
1575640655,191,48185,-334565920.000000,-706609088.000000
1575640655,192,48185,-334565920.000000,-706609152.000000
1575640656,193,48186,-334565952.000000,-706609280.000000
1575640656,194,48186,-334565952.000000,-706609344.000000
1575640656,195,48186,-334565952.000000,-706609408.000000
1575640656,196,48186,-334565952.000000,-706609600.000000
1575640656,197,48186,-334565984.000000,-706609728.000000
1575640657,198,48187,-334565984.000000,-706609856.000000
1575640657,199,48187,-334565984.000000,-706609856.000000
