my time, msgCnt, SecMark, Lat, Lon
1575640007,228,47537,-334564000.000000,-706596800.000000
1575640008,230,47538,-334564288.000000,-706596928.000000
1575640009,234,47539,-334564832.000000,-706597184.000000
1575640009,235,47539,-334565152.000000,-706597376.000000
1575640009,236,47539,-334565344.000000,-706597440.000000
1575640010,238,47540,-334565664.000000,-706597696.000000
1575640010,240,47540,-334565856.000000,-706598016.000000
1575640011,243,47540,-334566016.000000,-706598528.000000
1575640011,244,47541,-334566048.000000,-706598720.000000
1575640011,246,47541,-334566144.000000,-706599232.000000
1575640011,247,47541,-334566144.000000,-706599360.000000
1575640012,248,47542,-334566176.000000,-706599680.000000
1575640012,249,47542,-334566176.000000,-706599872.000000
1575640012,250,47542,-334566176.000000,-706600064.000000
1575640012,252,47542,-334566144.000000,-706600512.000000
1575640013,254,47543,-334566080.000000,-706600960.000000
1575640013,255,47543,-334566048.000000,-706601088.000000
1575640013,0,47543,-334565952.000000,-706601408.000000
1575640013,1,47543,-334565952.000000,-706601600.000000
1575640014,2,47544,-334565888.000000,-706601792.000000
1575640014,3,47544,-334565888.000000,-706601792.000000
1575640014,4,47544,-334565888.000000,-706602176.000000
1575640014,5,47544,-334565888.000000,-706602304.000000
1575640014,6,47544,-334565920.000000,-706602496.000000
1575640015,7,47545,-334565952.000000,-706602624.000000
1575640015,8,47545,-334565984.000000,-706602752.000000
1575640015,9,47545,-334565984.000000,-706602880.000000
1575640015,10,47545,-334566016.000000,-706603008.000000
1575640015,11,47545,-334566016.000000,-706603136.000000
1575640016,12,47546,-334566048.000000,-706603264.000000
1575640016,14,47546,-334566048.000000,-706603456.000000
1575640016,16,47546,-334566048.000000,-706603520.000000
1575640017,17,47547,-334566048.000000,-706603648.000000
1575640017,18,47547,-334566080.000000,-706603776.000000
1575640017,19,47547,-334566080.000000,-706603776.000000
1575640017,20,47547,-334566080.000000,-706603840.000000
1575640018,23,47548,-334566080.000000,-706603904.000000
1575640018,25,47548,-334566080.000000,-706603904.000000
1575640018,26,47548,-334566080.000000,-706603904.000000
1575640019,27,47548,-334566080.000000,-706603904.000000
1575640019,30,47549,-334566080.000000,-706603968.000000
1575640020,34,47550,-334566048.000000,-706603968.000000
1575640021,38,47551,-334566048.000000,-706604032.000000
1575640022,42,47552,-334566016.000000,-706604032.000000
1575640023,50,47553,-334565984.000000,-706604096.000000
1575640024,54,47554,-334565984.000000,-706604160.000000
1575640024,55,47554,-334565984.000000,-706604160.000000
1575640024,56,47554,-334565984.000000,-706604160.000000
1575640025,58,47555,-334565984.000000,-706604160.000000
1575640025,59,47555,-334565952.000000,-706604224.000000
1575640025,61,47555,-334565952.000000,-706604224.000000
1575640026,63,47556,-334565952.000000,-706604224.000000
1575640027,68,47557,-334565952.000000,-706604288.000000
1575640027,69,47557,-334565952.000000,-706604288.000000
1575640028,75,47558,-334565952.000000,-706604352.000000
1575640028,76,47558,-334565920.000000,-706604352.000000
1575640029,79,47559,-334565920.000000,-706604416.000000
1575640029,80,47559,-334565920.000000,-706604416.000000
1575640030,85,47560,-334565920.000000,-706604416.000000
1575640030,86,47560,-334565920.000000,-706604416.000000
1575640031,87,47561,-334565920.000000,-706604416.000000
1575640031,88,47561,-334565920.000000,-706604416.000000
1575640031,89,47561,-334565920.000000,-706604416.000000
1575640031,90,47561,-334565920.000000,-706604416.000000
1575640031,91,47561,-334565920.000000,-706604416.000000
1575640032,92,47562,-334565920.000000,-706604480.000000
1575640032,93,47562,-334565920.000000,-706604480.000000
1575640032,95,47562,-334565920.000000,-706604480.000000
1575640032,96,47562,-334565920.000000,-706604480.000000
1575640033,97,47563,-334565920.000000,-706604480.000000
1575640033,98,47563,-334565920.000000,-706604480.000000
1575640033,99,47563,-334565920.000000,-706604480.000000
1575640033,100,47563,-334565920.000000,-706604480.000000
1575640033,101,47563,-334565920.000000,-706604480.000000
1575640034,102,47564,-334565920.000000,-706604480.000000
1575640034,103,47564,-334565920.000000,-706604480.000000
1575640034,106,47564,-334565920.000000,-706604480.000000
1575640035,107,47565,-334565920.000000,-706604480.000000
1575640035,108,47565,-334565920.000000,-706604480.000000
1575640035,109,47565,-334565920.000000,-706604544.000000
1575640035,110,47565,-334565920.000000,-706604544.000000
1575640035,111,47565,-334565920.000000,-706604544.000000
1575640036,112,47566,-334565920.000000,-706604544.000000
1575640036,113,47566,-334565920.000000,-706604544.000000
1575640036,114,47566,-334565920.000000,-706604544.000000
1575640036,115,47566,-334565920.000000,-706604544.000000
1575640036,116,47566,-334565888.000000,-706604544.000000
1575640037,117,47566,-334565888.000000,-706604544.000000
1575640037,118,47567,-334565920.000000,-706604544.000000
1575640037,119,47567,-334565888.000000,-706604544.000000
1575640037,120,47567,-334565888.000000,-706604544.000000
1575640037,121,47567,-334565888.000000,-706604544.000000
1575640038,122,47568,-334565888.000000,-706604544.000000
1575640038,123,47568,-334565888.000000,-706604544.000000
1575640038,124,47568,-334565888.000000,-706604544.000000
1575640038,125,47568,-334565888.000000,-706604544.000000
1575640038,126,47568,-334565888.000000,-706604608.000000
1575640039,127,47569,-334565888.000000,-706604608.000000
1575640039,128,47569,-334565888.000000,-706604608.000000
1575640039,129,47569,-334565888.000000,-706604608.000000
1575640039,130,47569,-334565888.000000,-706604608.000000
1575640039,131,47569,-334565888.000000,-706604608.000000
1575640040,133,47570,-334565888.000000,-706604608.000000
1575640040,134,47570,-334565920.000000,-706604608.000000
1575640040,135,47570,-334565920.000000,-706604608.000000
1575640040,136,47571,-334565920.000000,-706604608.000000
1575640041,137,47571,-334565920.000000,-706604608.000000
1575640041,138,47571,-334565920.000000,-706604608.000000
1575640041,140,47571,-334565920.000000,-706604608.000000
1575640041,141,47572,-334565920.000000,-706604608.000000
1575640042,142,47572,-334565920.000000,-706604608.000000
1575640042,143,47572,-334565920.000000,-706604608.000000
1575640042,144,47572,-334565920.000000,-706604608.000000
1575640042,145,47572,-334565920.000000,-706604608.000000
1575640043,146,47573,-334565920.000000,-706604608.000000
