my time, msgCnt, SecMark, Lat, Lon
1575638590,181,46120,-334564256.000000,-706596416.000000
1575638590,184,46120,-334564608.000000,-706596480.000000
1575638591,185,46120,-334564640.000000,-706596480.000000
1575638591,186,46121,-334564800.000000,-706596608.000000
1575638591,188,46121,-334564960.000000,-706596736.000000
1575638591,189,46121,-334564992.000000,-706596800.000000
1575638592,190,46121,-334565056.000000,-706596864.000000
1575638592,192,46122,-334565216.000000,-706597120.000000
1575638592,193,46122,-334565248.000000,-706597184.000000
1575638592,194,46122,-334565280.000000,-706597248.000000
1575638593,195,46122,-334565344.000000,-706597440.000000
1575638593,196,46123,-334565376.000000,-706597568.000000
1575638593,197,46123,-334565440.000000,-706597760.000000
1575638593,198,46123,-334565440.000000,-706597888.000000
1575638593,199,46123,-334565440.000000,-706597952.000000
1575638594,200,46124,-334565472.000000,-706598144.000000
1575638594,202,46124,-334565504.000000,-706598400.000000
1575638594,203,46124,-334565536.000000,-706598592.000000
1575638594,204,46124,-334565568.000000,-706598720.000000
1575638595,205,46125,-334565568.000000,-706598848.000000
1575638595,206,46125,-334565568.000000,-706598976.000000
1575638595,207,46125,-334565600.000000,-706599104.000000
1575638595,208,46125,-334565600.000000,-706599232.000000
1575638595,209,46125,-334565600.000000,-706599424.000000
1575638596,210,46125,-334565600.000000,-706599488.000000
1575638596,211,46126,-334565632.000000,-706599680.000000
1575638596,212,46126,-334565632.000000,-706599808.000000
1575638596,213,46126,-334565632.000000,-706600000.000000
1575638596,214,46126,-334565632.000000,-706600064.000000
1575638597,215,46126,-334565632.000000,-706600192.000000
1575638597,216,46127,-334565632.000000,-706600448.000000
1575638597,217,46127,-334565632.000000,-706600512.000000
1575638597,218,46127,-334565600.000000,-706600704.000000
1575638597,219,46127,-334565600.000000,-706600768.000000
1575638598,220,46128,-334565632.000000,-706600960.000000
1575638598,221,46128,-334565632.000000,-706601152.000000
1575638598,222,46128,-334565664.000000,-706601280.000000
1575638598,223,46128,-334565664.000000,-706601344.000000
1575638598,224,46128,-334565696.000000,-706601536.000000
1575638599,225,46129,-334565696.000000,-706601600.000000
1575638599,226,46129,-334565664.000000,-706601728.000000
1575638599,227,46129,-334565696.000000,-706601856.000000
1575638599,228,46129,-334565696.000000,-706601984.000000
1575638599,229,46129,-334565696.000000,-706602048.000000
1575638600,230,46130,-334565728.000000,-706602176.000000
1575638600,231,46130,-334565728.000000,-706602240.000000
1575638600,232,46130,-334565728.000000,-706602304.000000
1575638600,233,46130,-334565792.000000,-706602432.000000
1575638600,234,46130,-334565792.000000,-706602432.000000
