my time, msgCnt, SecMark, Lat, Lon
1575639279,121,46809,-334564864.000000,-706595968.000000
1575639280,122,46810,-334564928.000000,-706596032.000000
1575639280,123,46810,-334565024.000000,-706596160.000000
1575639280,126,46810,-334565248.000000,-706596480.000000
1575639281,127,46811,-334565312.000000,-706596608.000000
1575639281,128,46811,-334565312.000000,-706596608.000000
1575639281,129,46811,-334565472.000000,-706596864.000000
1575639281,130,46811,-334565504.000000,-706596928.000000
1575639281,131,46811,-334565600.000000,-706597184.000000
1575639282,132,46812,-334565632.000000,-706597376.000000
1575639282,133,46812,-334565664.000000,-706597504.000000
1575639282,134,46812,-334565728.000000,-706597632.000000
1575639282,135,46812,-334565728.000000,-706597632.000000
1575639282,136,46812,-334565792.000000,-706597952.000000
1575639283,137,46813,-334565824.000000,-706598144.000000
1575639283,139,46813,-334565856.000000,-706598528.000000
1575639283,140,46813,-334565888.000000,-706598720.000000
1575639283,141,46813,-334565888.000000,-706598912.000000
1575639284,142,46814,-334565888.000000,-706599104.000000
1575639284,143,46814,-334565888.000000,-706599232.000000
1575639284,145,46814,-334565920.000000,-706599680.000000
1575639284,146,46814,-334565888.000000,-706599872.000000
1575639285,147,46815,-334565888.000000,-706600064.000000
1575639285,148,46815,-334565920.000000,-706600256.000000
1575639285,149,46815,-334565920.000000,-706600448.000000
1575639285,150,46815,-334565920.000000,-706600576.000000
1575639285,151,46815,-334565952.000000,-706600768.000000
1575639286,152,46815,-334565952.000000,-706600768.000000
1575639286,153,46816,-334565920.000000,-706601152.000000
1575639286,154,46816,-334565952.000000,-706601280.000000
1575639286,155,46816,-334565952.000000,-706601280.000000
1575639286,156,46816,-334566016.000000,-706601664.000000
1575639287,157,46817,-334566048.000000,-706601856.000000
1575639287,158,46817,-334566080.000000,-706602048.000000
1575639287,159,46817,-334566080.000000,-706602112.000000
1575639287,160,46817,-334566112.000000,-706602368.000000
1575639288,162,46818,-334566144.000000,-706602752.000000
