my time, msgCnt, SecMark, Lat, Lon
1575638455,24,45985,-334564640.000000,-706596608.000000
1575638455,25,45985,-334564736.000000,-706596672.000000
1575638456,26,45986,-334564832.000000,-706596800.000000
1575638456,27,45986,-334564864.000000,-706596864.000000
1575638456,28,45986,-334564896.000000,-706596992.000000
1575638456,29,45986,-334564928.000000,-706596992.000000
1575638456,30,45986,-334564992.000000,-706597184.000000
1575638457,31,45986,-334565024.000000,-706597248.000000
1575638457,32,45987,-334565120.000000,-706597440.000000
1575638457,35,45987,-334565184.000000,-706597696.000000
1575638458,36,45988,-334565184.000000,-706597824.000000
1575638458,38,45988,-334565184.000000,-706598016.000000
1575638458,39,45988,-334565216.000000,-706598144.000000
1575638458,40,45988,-334565216.000000,-706598272.000000
1575638459,41,45989,-334565216.000000,-706598336.000000
1575638459,42,45989,-334565216.000000,-706598336.000000
1575638459,43,45989,-334565248.000000,-706598592.000000
1575638459,44,45989,-334565248.000000,-706598720.000000
1575638459,45,45989,-334565248.000000,-706598720.000000
1575638460,46,45990,-334565280.000000,-706598976.000000
1575638460,47,45990,-334565280.000000,-706599104.000000
1575638460,48,45990,-334565312.000000,-706599232.000000
1575638460,49,45990,-334565312.000000,-706599232.000000
1575638460,50,45990,-334565312.000000,-706599424.000000
1575638461,51,45990,-334565312.000000,-706599488.000000
1575638461,52,45991,-334565344.000000,-706599616.000000
1575638461,53,45991,-334565376.000000,-706599808.000000
1575638461,54,45991,-334565376.000000,-706599936.000000
1575638461,55,45991,-334565376.000000,-706600064.000000
1575638462,56,45992,-334565408.000000,-706600192.000000
1575638462,57,45992,-334565376.000000,-706600320.000000
1575638462,58,45992,-334565376.000000,-706600384.000000
1575638462,59,45992,-334565408.000000,-706600512.000000
1575638462,60,45992,-334565408.000000,-706600640.000000
1575638463,61,45993,-334565408.000000,-706600704.000000
1575638463,62,45993,-334565408.000000,-706600832.000000
1575638463,63,45993,-334565408.000000,-706600960.000000
1575638463,64,45993,-334565408.000000,-706601088.000000
1575638463,65,45993,-334565408.000000,-706601152.000000
1575638464,66,45993,-334565408.000000,-706601152.000000
1575638464,67,45994,-334565408.000000,-706601344.000000
1575638464,68,45994,-334565376.000000,-706601472.000000
1575638464,69,45994,-334565408.000000,-706601600.000000
1575638464,70,45994,-334565408.000000,-706601664.000000
1575638465,71,45995,-334565440.000000,-706601792.000000
1575638465,72,45995,-334565472.000000,-706601920.000000
1575638465,73,45995,-334565472.000000,-706601984.000000
