my time, msgCnt, SecMark, Lat, Lon
1575639675,85,47204,-334566016.000000,-706605952.000000
1575639675,86,47205,-334566016.000000,-706606016.000000
1575639675,87,47205,-334566016.000000,-706606080.000000
1575639675,88,47205,-334566016.000000,-706606144.000000
1575639675,89,47205,-334566016.000000,-706606144.000000
1575639676,90,47205,-334566016.000000,-706606208.000000
1575639676,91,47205,-334566016.000000,-706606208.000000
1575639676,92,47206,-334566048.000000,-706606208.000000
1575639676,93,47206,-334566048.000000,-706606272.000000
1575639676,94,47206,-334566048.000000,-706606272.000000
1575639677,95,47207,-334566048.000000,-706606272.000000
1575639677,96,47207,-334566048.000000,-706606272.000000
1575639677,97,47207,-334566048.000000,-706606272.000000
1575639677,98,47207,-334566048.000000,-706606272.000000
1575639677,99,47207,-334566080.000000,-706606272.000000
1575639678,100,47208,-334566048.000000,-706606272.000000
1575639678,101,47208,-334566080.000000,-706606272.000000
1575639678,102,47208,-334566080.000000,-706606272.000000
1575639678,103,47208,-334566080.000000,-706606272.000000
1575639679,106,47209,-334566080.000000,-706606272.000000
1575639679,107,47209,-334566080.000000,-706606272.000000
1575639679,108,47209,-334566080.000000,-706606272.000000
1575639679,109,47209,-334566080.000000,-706606336.000000
1575639680,110,47209,-334566080.000000,-706606336.000000
1575639680,111,47210,-334566080.000000,-706606336.000000
1575639680,112,47210,-334566080.000000,-706606336.000000
1575639680,113,47210,-334566080.000000,-706606336.000000
1575639680,114,47210,-334566080.000000,-706606336.000000
1575639681,115,47210,-334566080.000000,-706606336.000000
1575639681,116,47211,-334566080.000000,-706606336.000000
1575639681,117,47211,-334566080.000000,-706606336.000000
1575639681,118,47211,-334566080.000000,-706606336.000000
1575639681,119,47211,-334566112.000000,-706606336.000000
1575639682,120,47211,-334566112.000000,-706606336.000000
1575639682,121,47212,-334566112.000000,-706606336.000000
1575639682,122,47212,-334566112.000000,-706606336.000000
1575639682,123,47212,-334566112.000000,-706606336.000000
1575639682,124,47212,-334566112.000000,-706606336.000000
1575639683,125,47212,-334566112.000000,-706606336.000000
1575639683,126,47213,-334566112.000000,-706606336.000000
1575639683,127,47213,-334566112.000000,-706606400.000000
