my time, msgCnt, SecMark, Lat, Lon
1575640838,99,48368,-334563776.000000,-706596416.000000
1575640841,114,48371,-334564832.000000,-706596928.000000
1575640841,115,48371,-334564928.000000,-706596992.000000
1575640841,116,48371,-334565024.000000,-706597120.000000
1575640841,117,48371,-334565088.000000,-706597184.000000
1575640842,118,48372,-334565152.000000,-706597312.000000
1575640842,119,48372,-334565216.000000,-706597376.000000
1575640842,120,48372,-334565280.000000,-706597504.000000
1575640842,121,48372,-334565312.000000,-706597504.000000
1575640842,122,48372,-334565440.000000,-706597760.000000
1575640843,124,48373,-334565536.000000,-706598080.000000
1575640843,125,48373,-334565568.000000,-706598272.000000
1575640843,126,48373,-334565600.000000,-706598336.000000
1575640843,127,48373,-334565632.000000,-706598464.000000
1575640845,133,48375,-334565760.000000,-706599360.000000
1575640845,135,48375,-334565792.000000,-706599552.000000
1575640845,137,48375,-334565856.000000,-706599936.000000
1575640846,138,48376,-334565888.000000,-706600064.000000
1575640846,140,48376,-334565888.000000,-706600384.000000
1575640846,141,48376,-334565920.000000,-706600512.000000
1575640846,142,48376,-334565920.000000,-706600640.000000
1575640847,143,48377,-334565952.000000,-706600768.000000
1575640847,144,48377,-334565952.000000,-706600896.000000
1575640847,145,48377,-334565984.000000,-706601024.000000
1575640847,146,48377,-334565984.000000,-706601152.000000
1575640847,147,48377,-334565984.000000,-706601280.000000
1575640848,148,48378,-334566016.000000,-706601408.000000
1575640848,149,48378,-334566016.000000,-706601536.000000
1575640848,150,48378,-334566048.000000,-706601600.000000
1575640848,152,48378,-334566080.000000,-706601856.000000
1575640849,153,48379,-334566080.000000,-706601984.000000
1575640849,154,48379,-334566080.000000,-706602048.000000
1575640849,156,48379,-334566080.000000,-706602240.000000
1575640850,158,48380,-334566080.000000,-706602304.000000
1575640850,159,48380,-334566080.000000,-706602432.000000
1575640850,161,48380,-334566080.000000,-706602496.000000
1575640850,162,48380,-334566080.000000,-706602560.000000
1575640851,164,48381,-334566048.000000,-706602624.000000
1575640851,165,48381,-334566048.000000,-706602688.000000
1575640851,166,48381,-334566048.000000,-706602688.000000
1575640851,167,48381,-334566048.000000,-706602752.000000
1575640852,168,48382,-334566048.000000,-706602752.000000
1575640852,169,48382,-334566048.000000,-706602816.000000
1575640853,173,48383,-334566048.000000,-706602880.000000
1575640853,174,48383,-334566048.000000,-706602944.000000
1575640853,175,48383,-334566048.000000,-706602944.000000
1575640853,176,48383,-334566048.000000,-706602944.000000
1575640854,180,48384,-334566048.000000,-706602944.000000
1575640854,182,48385,-334566048.000000,-706603008.000000
1575640855,183,48385,-334566048.000000,-706603008.000000
1575640855,186,48385,-334566048.000000,-706603200.000000
1575640856,187,48386,-334566048.000000,-706603264.000000
1575640856,190,48386,-334566080.000000,-706603520.000000
1575640857,193,48387,-334566080.000000,-706603776.000000
1575640857,194,48387,-334566080.000000,-706603904.000000
1575640857,195,48387,-334566080.000000,-706603968.000000
1575640857,196,48387,-334566080.000000,-706604096.000000
1575640858,197,48388,-334566048.000000,-706604160.000000
1575640858,198,48388,-334566048.000000,-706604288.000000
1575640858,199,48388,-334566016.000000,-706604352.000000
1575640858,200,48388,-334566016.000000,-706604480.000000
1575640858,201,48388,-334566016.000000,-706604544.000000
1575640859,202,48389,-334565984.000000,-706604608.000000
1575640859,203,48389,-334565984.000000,-706604736.000000
