11670.26,12491.26,14.6,vehicle_9,2020-12-08 00:00:13
11671.56,12491.86,14.7,vehicle_9,2020-12-08 00:00:13
11672.87,12492.46,14.69,vehicle_9,2020-12-08 00:00:13
11674.16,12493.06,14.65,vehicle_9,2020-12-08 00:00:13
11675.46,12493.66,14.65,vehicle_9,2020-12-08 00:00:13
11676.75,12494.26,14.63,vehicle_9,2020-12-08 00:00:13
11678.05,12494.86,14.68,vehicle_9,2020-12-08 00:00:13
11679.35,12495.46,14.63,vehicle_9,2020-12-08 00:00:13
11680.64,12496.05,14.6,vehicle_9,2020-12-08 00:00:14
11681.93,12496.65,14.62,vehicle_9,2020-12-08 00:00:14
11683.23,12497.25,14.7,vehicle_9,2020-12-08 00:00:14
11684.52,12497.85,14.62,vehicle_9,2020-12-08 00:00:14
11685.79,12498.52,14.64,vehicle_9,2020-12-08 00:00:14
11687.05,12499.19,14.71,vehicle_9,2020-12-08 00:00:14
11688.32,12499.85,14.7,vehicle_9,2020-12-08 00:00:14
11689.59,12500.52,14.7,vehicle_9,2020-12-08 00:00:14
11690.86,12501.19,14.71,vehicle_9,2020-12-08 00:00:14
11692.13,12501.86,14.7,vehicle_9,2020-12-08 00:00:14
11693.39,12502.52,14.63,vehicle_9,2020-12-08 00:00:15
11694.65,12503.19,14.66,vehicle_9,2020-12-08 00:00:15
11695.92,12503.86,14.72,vehicle_9,2020-12-08 00:00:15
11697.19,12504.52,14.72,vehicle_9,2020-12-08 00:00:15
11698.46,12505.19,14.7,vehicle_9,2020-12-08 00:00:15
11699.72,12505.86,14.62,vehicle_9,2020-12-08 00:00:15
11700.99,12506.52,14.69,vehicle_9,2020-12-08 00:00:15
11702.26,12507.19,14.7,vehicle_9,2020-12-08 00:00:15
11703.52,12507.86,14.68,vehicle_9,2020-12-08 00:00:15
11704.79,12508.52,14.65,vehicle_9,2020-12-08 00:00:15
11706.05,12509.19,14.69,vehicle_9,2020-12-08 00:00:16
11707.32,12509.86,14.69,vehicle_9,2020-12-08 00:00:16
11708.59,12510.52,14.7,vehicle_9,2020-12-08 00:00:16
11709.86,12511.19,14.71,vehicle_9,2020-12-08 00:00:16
11711.12,12511.86,14.64,vehicle_9,2020-12-08 00:00:16
11712.38,12512.52,14.64,vehicle_9,2020-12-08 00:00:16
11713.65,12513.19,14.68,vehicle_9,2020-12-08 00:00:16
11714.91,12513.85,14.65,vehicle_9,2020-12-08 00:00:16
11716.17,12514.52,14.63,vehicle_9,2020-12-08 00:00:16
11717.44,12515.18,14.61,vehicle_9,2020-12-08 00:00:16
11718.72,12515.8,14.61,vehicle_9,2020-12-08 00:00:17
11720.0,12516.41,14.62,vehicle_9,2020-12-08 00:00:17
11721.29,12517.03,14.61,vehicle_9,2020-12-08 00:00:17
11722.57,12517.65,14.64,vehicle_9,2020-12-08 00:00:17
11723.86,12518.28,14.71,vehicle_9,2020-12-08 00:00:17
11725.15,12518.9,14.71,vehicle_9,2020-12-08 00:00:17
11726.44,12519.52,14.63,vehicle_9,2020-12-08 00:00:17
11727.73,12520.14,14.67,vehicle_9,2020-12-08 00:00:17
11729.01,12520.76,14.69,vehicle_9,2020-12-08 00:00:17
11730.3,12521.38,14.69,vehicle_9,2020-12-08 00:00:17
11731.59,12522.01,14.68,vehicle_9,2020-12-08 00:00:18
11732.88,12522.63,14.67,vehicle_9,2020-12-08 00:00:18
11734.17,12523.25,14.65,vehicle_9,2020-12-08 00:00:18
11735.45,12523.87,14.65,vehicle_9,2020-12-08 00:00:18
11736.74,12524.49,14.72,vehicle_9,2020-12-08 00:00:18
11738.03,12525.11,14.63,vehicle_9,2020-12-08 00:00:18
11739.31,12525.73,14.63,vehicle_9,2020-12-08 00:00:18
11740.6,12526.35,14.65,vehicle_9,2020-12-08 00:00:18
11741.89,12526.97,14.67,vehicle_9,2020-12-08 00:00:18
11743.18,12527.59,14.66,vehicle_9,2020-12-08 00:00:18
11744.47,12528.22,14.71,vehicle_9,2020-12-08 00:00:19
11745.75,12528.84,14.62,vehicle_9,2020-12-08 00:00:19
11747.04,12529.46,14.72,vehicle_9,2020-12-08 00:00:19
11748.33,12530.08,14.64,vehicle_9,2020-12-08 00:00:19
11749.62,12530.7,14.69,vehicle_9,2020-12-08 00:00:19
11750.9,12531.32,14.65,vehicle_9,2020-12-08 00:00:19
11752.19,12531.94,14.68,vehicle_9,2020-12-08 00:00:19
11753.48,12532.56,14.63,vehicle_9,2020-12-08 00:00:19
11754.77,12533.19,14.69,vehicle_9,2020-12-08 00:00:19
11756.06,12533.81,14.7,vehicle_9,2020-12-08 00:00:19
11757.34,12534.43,14.66,vehicle_9,2020-12-08 00:00:20
11758.63,12535.05,14.68,vehicle_9,2020-12-08 00:00:20
11759.92,12535.67,14.68,vehicle_9,2020-12-08 00:00:20
11761.21,12536.3,14.71,vehicle_9,2020-12-08 00:00:20
11762.5,12536.92,14.69,vehicle_9,2020-12-08 00:00:20
11763.79,12537.54,14.64,vehicle_9,2020-12-08 00:00:20
11765.08,12538.16,14.7,vehicle_9,2020-12-08 00:00:20
11766.37,12538.78,14.69,vehicle_9,2020-12-08 00:00:20
11767.65,12539.4,14.62,vehicle_9,2020-12-08 00:00:20
11768.94,12540.02,14.66,vehicle_9,2020-12-08 00:00:20
11770.23,12540.64,14.65,vehicle_9,2020-12-08 00:00:21
11771.52,12541.27,14.7,vehicle_9,2020-12-08 00:00:21
