11858.87,12460.43,8.07,97788_395_0,08-11-18 6:46,1
11858.55,12461.06,7.97,97788_395_0,08-11-18 6:46,1
11858.23,12461.71,8.09,97788_395_0,08-11-18 6:46,1
11857.91,12462.34,8,97788_395_0,08-11-18 6:46,1
11857.59,12462.98,7.97,97788_395_0,08-11-18 6:46,1
11857.27,12463.62,8.08,97788_395_0,08-11-18 6:46,1
11856.94,12464.26,8.02,97788_395_0,08-11-18 6:46,1
11856.62,12464.9,8.06,97788_395_0,08-11-18 6:46,1
11856.3,12465.54,8.08,97788_395_0,08-11-18 6:46,1
11855.97,12466.18,8.08,97788_395_0,08-11-18 6:46,1
11855.65,12466.83,8.07,97788_395_0,08-11-18 6:46,1
11855.33,12467.46,7.99,97788_395_0,08-11-18 6:46,1
11855.01,12468.1,8.07,97788_395_0,08-11-18 6:46,1
11854.69,12468.74,8.02,97788_395_0,08-11-18 6:46,1
11854.37,12469.38,8,97788_395_0,08-11-18 6:46,1
11854.04,12470.02,8.07,97788_395_0,08-11-18 6:46,1
11853.72,12470.66,8.03,97788_395_0,08-11-18 6:46,1
11853.4,12471.3,8.05,97788_395_0,08-11-18 6:46,1
11853.08,12471.94,8.05,97788_395_0,08-11-18 6:46,1
11852.76,12472.57,7.96,97788_395_0,08-11-18 6:46,1
11852.44,12473.21,8.01,97788_395_0,08-11-18 6:46,1
11852.11,12473.85,8.05,97788_395_0,08-11-18 6:46,1
11851.79,12474.49,8.08,97788_395_0,08-11-18 6:46,1
11851.47,12475.14,8.07,97788_395_0,08-11-18 6:46,1
11851.15,12475.77,8,97788_395_0,08-11-18 6:46,1
11850.83,12476.41,7.99,97788_395_0,08-11-18 6:46,1
11850.5,12477.05,8.08,97788_395_0,08-11-18 6:46,1
11850.18,12477.69,7.99,97788_395_0,08-11-18 6:46,1
11849.86,12478.33,8.08,97788_395_0,08-11-18 6:46,1
11849.54,12478.97,8.01,97788_395_0,08-11-18 6:46,1
11849.22,12479.6,7.97,97788_395_0,08-11-18 6:46,1
