scenario,packetLoss,maxSpeed,repetition,warningTime,collisionTime,predictedTurn
WaveDelay,0.0,10.4,17,27.732289134971,29.1,1
WaveDelay,0.0,10.4,18,27.765232452491,29.1,1
WaveDelay,0.0,10.4,19,27.755716425729,29.1,1
WaveDelay,0.0,10.4,2,27.741350195649,29.1,1
WaveDelay,0.0,10.4,20,27.709903044104,29.1,1
WaveDelay,0.0,10.4,21,27.743417190873,29.1,1
WaveDelay,0.0,10.4,22,27.761254474578,29.1,1
WaveDelay,0.0,10.4,23,27.780624443555,29.1,1
WaveDelay,0.0,10.4,24,27.77725753858,29.1,1
WaveDelay,0.0,10.4,25,27.784654585703,29.1,1
WaveDelay,0.0,10.4,26,27.790296605505,29.1,1
WaveDelay,0.0,10.4,27,27.706042141268,29.1,1
WaveDelay,0.0,10.4,28,27.729234119694,29.1,1
WaveDelay,0.0,10.4,29,27.708213051138,29.1,1
WaveDelay,0.0,10.4,3,27.763438436872,29.1,1
WaveDelay,0.0,10.4,4,27.790660588713,29.1,1
WaveDelay,0.0,10.4,5,27.777062568287,29.1,1
WaveDelay,0.0,10.4,6,27.77646440431,29.1,1
WaveDelay,0.0,10.4,7,27.731055320518,29.1,1
WaveDelay,0.0,10.4,8,27.722006228587,29.1,1
WaveDelay,0.0,10.4,9,27.720303192984,29.1,1
WaveDelay,0.0,10.7,0,27.193941468562,28.6,1
WaveDelay,0.0,10.7,1,27.165197152846,28.6,1
WaveDelay,0.0,10.7,10,27.186440306586,28.6,1
WaveDelay,0.0,10.7,11,27.143137257909,28.6,1
WaveDelay,0.0,10.7,12,27.161687123421,28.6,1
WaveDelay,0.0,10.7,13,27.158230233621,28.6,1
WaveDelay,0.0,10.7,14,27.170736266782,28.6,1
WaveDelay,0.0,10.7,15,27.165444190629,28.6,1
WaveDelay,0.0,10.7,16,27.123116023874,28.6,1
WaveDelay,0.0,10.7,17,27.179550300924,28.6,1
WaveDelay,0.0,10.7,18,27.125911023502,28.6,1
WaveDelay,0.0,10.7,19,27.1217900382,28.6,1
WaveDelay,0.0,10.7,2,27.180590275055,28.6,1
WaveDelay,0.0,10.7,20,27.138210187297,28.6,1
WaveDelay,0.0,10.7,21,27.176976346747,28.6,1
WaveDelay,0.0,10.7,22,27.158320117352,28.6,1
WaveDelay,0.0,10.7,23,27.177080401692,28.6,1
WaveDelay,0.0,10.7,24,27.124833162069,28.6,1
WaveDelay,0.0,10.7,25,27.195020340125,28.6,1
WaveDelay,0.0,10.7,26,27.104447951023,28.6,1
WaveDelay,0.0,10.7,27,27.146114238932,28.6,1
WaveDelay,0.0,10.7,28,27.110076915851,28.6,1
WaveDelay,0.0,10.7,29,27.122530926819,28.6,1
WaveDelay,0.0,10.7,3,27.141758037781,28.6,1
WaveDelay,0.0,10.7,4,27.18763524235,28.6,1
WaveDelay,0.0,10.7,5,27.184243431204,28.6,1
WaveDelay,0.0,10.7,6,27.15793015973,28.6,1
WaveDelay,0.0,10.7,7,27.161505113551,28.6,1
WaveDelay,0.0,10.7,8,27.172334167142,28.6,1
WaveDelay,0.0,10.7,9,27.181435286658,28.6,1
WaveDelay,0.0,11,0,26.671349282917,28.1,1
WaveDelay,0.0,11,1,26.622898167082,28.1,1
WaveDelay,0.0,11,10,26.64482810901,28.1,1
WaveDelay,0.0,11,11,26.652109305117,28.1,1
WaveDelay,0.0,11,12,26.62319716494,28.1,1
WaveDelay,0.0,11,13,26.652135271949,28.1,1
WaveDelay,0.0,11,14,26.660675152497,28.1,1
WaveDelay,0.0,11,15,26.658856372087,28.1,1
WaveDelay,0.0,11,16,26.666564199827,28.1,1
WaveDelay,0.0,11,17,26.679851438752,28.1,1
WaveDelay,0.0,11,18,26.685220312727,28.1,1
WaveDelay,0.0,11,19,26.620428174522,28.1,1
WaveDelay,0.0,11,2,26.694385390892,28.1,1
WaveDelay,0.0,11,20,26.648768316022,28.1,1
WaveDelay,0.0,11,21,26.623130988391,28.1,1
WaveDelay,0.0,11,22,26.642436072272,28.1,1
WaveDelay,0.0,11,23,26.606165958457,28.1,1
WaveDelay,0.0,11,24,26.64905427141,28.1,1
WaveDelay,0.0,11,25,26.61418709126,28.1,1
WaveDelay,0.0,11,26,26.635273018844,28.1,1
WaveDelay,0.0,11,27,26.688639330709,28.1,1
WaveDelay,0.0,11,28,26.613368004304,28.1,1
WaveDelay,0.0,11,29,26.641748283641,28.1,1
WaveDelay,0.0,11,3,26.631633016573,28.1,1
WaveDelay,0.0,11,4,26.613316102634,28.1,1
WaveDelay,0.0,11,5,26.650639188465,28.1,1
WaveDelay,0.0,11,6,26.698467365492,28.1,1
WaveDelay,0.0,11,7,26.661092393562,28.1,1
WaveDelay,0.0,11,8,26.620465939548,28.1,1
WaveDelay,0.0,11,9,26.649886275007,28.1,1
WaveDelay,0.0,11.3,0,26.176603150105,27.7,1
WaveDelay,0.0,11.3,1,26.187224170901,27.7,1
WaveDelay,0.0,11.3,10,26.176668142851,27.7,1
WaveDelay,0.0,11.3,11,26.133376849296,27.7,1
WaveDelay,0.0,11.3,12,26.126838998362,27.7,1
WaveDelay,0.0,11.3,13,26.153060132206,27.7,1
WaveDelay,0.0,11.3,14,26.197897273953,27.7,1
WaveDelay,0.0,11.3,15,26.126538790679,27.7,1
WaveDelay,0.0,11.3,16,26.100525813277,27.7,1
WaveDelay,0.0,11.3,17,26.168138959517,27.7,1
WaveDelay,0.0,11.3,18,26.168166195138,27.7,1
WaveDelay,0.0,11.3,19,26.19950925928,27.7,1
WaveDelay,0.0,11.3,2,26.109404761392,27.7,1
WaveDelay,0.0,11.3,20,26.10703881408,27.7,1
WaveDelay,0.0,11.3,21,26.17755217045,27.7,1
WaveDelay,0.0,11.3,22,26.164539060152,27.7,1
WaveDelay,0.0,11.3,23,26.158377096902,27.7,1
WaveDelay,0.0,11.3,24,26.169919971993,27.7,1
WaveDelay,0.0,11.3,25,26.10013568895,27.7,1
WaveDelay,0.0,11.3,26,26.192281187746,27.7,1
WaveDelay,0.0,11.3,27,26.107168712411,27.7,1
WaveDelay,0.0,11.3,28,26.13692581456,27.7,1
WaveDelay,0.0,11.3,29,26.161601079641,27.7,1
WaveDelay,0.0,11.3,3,26.168517058777,27.7,1
WaveDelay,0.0,11.3,4,26.14107288731,27.7,1
WaveDelay,0.0,11.3,5,26.192164124056,27.7,1
WaveDelay,0.0,11.3,6,26.187211164609,27.7,1
WaveDelay,0.0,11.3,7,26.156895124224,27.7,1
WaveDelay,0.0,11.3,8,26.128034997646,27.7,1
WaveDelay,0.0,11.3,9,26.18884927851,27.7,1
WaveDelay,0.0,11.6,0,25.639774367482,27.3,1
WaveDelay,0.0,11.6,1,25.621678347041,27.3,1
WaveDelay,0.0,11.6,10,25.608288286757,27.3,1
WaveDelay,0.0,11.6,11,25.625019379397,27.3,1
WaveDelay,0.0,11.6,12,25.601710178549,27.3,1
WaveDelay,0.0,11.6,13,25.639215463018,27.3,1
WaveDelay,0.0,11.6,14,25.617440432666,27.3,1
WaveDelay,0.0,11.6,15,25.6482114849,27.3,1
WaveDelay,0.0,11.6,16,25.623953347654,27.3,1
WaveDelay,0.0,11.6,17,25.615126238249,27.3,1
WaveDelay,0.0,11.6,18,25.670468675697,27.3,1
WaveDelay,0.0,11.6,19,25.614437373977,27.3,1
WaveDelay,0.0,11.6,2,25.62058627672,27.3,1
WaveDelay,0.0,11.6,20,25.649148591948,27.3,1
WaveDelay,0.0,11.6,21,25.694583721965,27.3,1
WaveDelay,0.0,11.6,22,25.609198385589,27.3,1
WaveDelay,0.0,11.6,23,25.619767249085,27.3,1
WaveDelay,0.0,11.6,24,25.624642385225,27.3,1
